sample, o__Gammaproteobacteria_Incertae_Sedis, o__Paenibacillales, o__Halobacterales, o__Tistrellales, o__Acholeplasmatales, o__0319-6G20, o__Alicyclobacillales, o__Rokubacteriales, o__Caldilineales, o__Glycomycetales, o__Abditibacteriales, p__Firmicutes_unassigned, o__Clostridiales, o__Steroidobacterales, o__Exiguobacterales, o__Micavibrionales, c__Clostridia_unassigned, o__Entotheonellales, o__Streptomycetales, o__Chloroflexales, o__MBNT15, o__Gemmatimonadales, o__Peptococcales, o__Pasteurellales, o__Erysipelotrichales, o__Isosphaerales, o__Opitutales, p__Actinobacteriota_unassigned, c__Alphaproteobacteria_unassigned, o__Oceanospirillales, p__Armatimonadota_unassigned, o__PeM15, o__Christensenellales, o__Phycisphaerales, o__Methanofastidiosales, o__Microtrichales, o__Cytophagales, o__Vicinamibacterales, o__Rickettsiales, o__Sphingobacteriales, o__Defluviicoccales, p__Proteobacteria_unassigned, o__R7C24, o__Acidaminococcales, o__Parcubacteria, o__Bacteroidales, o__Xanthomonadales, o__Kallotenuales, o__Reyranellales, o__Thermicanales, o__Thermobaculales, o__Clostridia, o__Ardenticatenales, o__Pseudonocardiales, c__Alphaproteobacteria_uncultured, o__MB-A2-108, o__Micrococcales, o__Desulfobulbales, c__Acidimicrobiia_unassigned, o__Staphylococcales, o__Catenulisporales, o__Deep_Sea_Euryarchaeotic_Group(DSEG), o__Propionibacteriales, o__Veillonellales-Selenomonadales, o__Bradymonadales, o__Omnitrophales, o__Armatimonadales, o__Mycoplasmatales, o__Alphaproteobacteria_Incertae_Sedis, o__Peptostreptococcales-Tissierellales, o__Synergistales, o__Caulobacterales, o__Clostridia_vadinBB60_group, o__Saccharimonadales, o__Campylobacterales, o__Cyanobacteriales, c__Bacilli_unassigned, c__Actinobacteria_unassigned, o__Deinococcales, o__Eubacteriales, o__Actinomarinales, o__Chitinophagales, o__Kineosporiales, c__Gammaproteobacteria_unassigned, o__Corynebacteriales, o__Bifidobacteriales,d__Bacteria_unassigned, c__Bacteroidia_unassigned, o__Thermoactinomycetales, o__Oscillospirales, o__Coriobacteriales, o__Obscuribacterales, o__Babeliales, o__Bryobacterales, o__Fusobacteriales, o__Micropepsales, o__Solirubrobacterales, o__Myxococcales, o__Lactobacillales, o__Solibacterales, o__Polyangiales, o__Tepidisphaerales, o__Azospirillales, o__Frankiales, o__Cardiobacteriales, o__Acetobacterales, o__Lachnospirales, o__Actinomycetales, o__Enterobacterales, o__Burkholderiales, o__Legionellales, o__Asgardarchaeota, o__RF39, o__Gaiellales, o__Salinisphaerales, o__Flavobacteriales, o__Aenigmarchaeales, o__Bdellovibrionales, o__Rhodospirillales, o__C0119, o__Subgroup_7, p__Chloroflexi_unassigned, o__Absconditabacteriales_(SR1), o__Pseudomonadales, o__Acidithiobacillales, o__Micromonosporales, o__Monoglobales, o__IMCC26256, o__Sphingomonadales, o__Chloroplast, o__Thermomicrobiales, o__Marine_Group_II, o__Rubrobacterales, o__Spirochaetales, o__SBR1031, o__Oligoflexales, o__Thermaerobacterales, o__Streptosporangiales, o__JGI_0000069-P22, o__Longimicrobiales, o__Rhodothermales, o__Bacillales, o__Rhizobiales, o__Diplorickettsiales, c__Acidimicrobiia_uncultured, o__Blastocatellales, o__Clostridia_UCG-014, o__NB1-j, o__TK10, o__Gemmatales, o__Rhodobacterales, o__Acidobacteriales
MASK014.V1.MASK,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,134,0,0,1464,0,0,2201,0,0,21131,76,0,0,0,0,0,270,0,0,0,19,0,0,230,0,0,0,0,0,0,0,524,0,0,0,0,0,0,0,0,0,81,0,0,0,1317,0,0,0,0,0,0,0,28,203,0,403,0,0,0,12,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,121,11,0,0,0,18,0,0,0,101,0,0,0,0,0,0,0,0,7,0
MASK014.V1.SKIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1487,0,0,36213,19,0,0,0,0,0,21,0,0,0,0,0,0,77,0,0,0,0,0,0,0,441,0,0,0,0,0,0,0,0,0,4,0,0,0,193,0,0,0,0,0,0,0,0,8,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASK014.V1.SKIN.B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,46,0,0,1085,0,0,48015,4,0,0,0,0,0,61,0,0,0,0,0,0,49,0,0,0,0,0,0,0,544,0,0,0,0,0,0,0,0,0,8,0,0,0,224,0,0,0,0,3,0,0,0,9,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASK014.v1.throat,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,966,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2614,0,0,0,0,0,0,0,0,0,0,591,0,0,1362,0,0,0,1589,0,0,0,0,0,125,0,0,0,42,19,0,4,0,0,0,0,0,0,0,36,0,31,0,0,0,17,0,0,0,1306,0,0,0,6016,0,0,0,0,0,0,0,212,1501,0,2723,0,0,5,0,0,42,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
MASK014.v2.throat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2623,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2285,0,0,0,0,0,0,0,0,0,0,339,0,0,1577,0,0,0,1040,0,0,0,0,0,65,0,0,0,18,49,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,0,0,0,11522,0,0,0,0,0,0,0,139,623,0,1132,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASK014.V3.MASK,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,4,0,0,987,0,0,2769,0,0,17099,193,0,0,0,0,0,10,0,0,0,11,0,0,186,0,18,0,0,0,0,0,371,0,0,0,0,0,6,0,0,0,126,0,0,0,3111,0,0,0,0,0,7,0,29,626,0,931,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
MASK014.V3.SKIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,27,2,0,0,0,0,0,0,3,0,0,22,0,0,1082,0,0,35105,28,0,0,0,0,0,19,0,0,0,0,2,0,58,2,0,0,0,0,0,0,337,0,0,0,0,0,3,0,0,0,2,0,0,0,631,0,0,0,0,0,0,2,0,43,0,189,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASK014.v3.throat,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1590,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,4020,0,0,0,0,0,0,0,0,0,0,10199,0,0,1831,0,0,8,2974,0,0,0,4,0,599,0,0,0,245,1582,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,72,0,0,0,5013,0,0,0,16350,0,0,0,0,0,4,0,5018,3267,0,1251,0,0,53,0,0,1086,0,0,0,0,0,0,184,0,0,0,0,0,0,15,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0
MASK015.V1.MASK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,327,0,0,77,0,0,39,0,0,1920,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,4,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,68,249,0,0,0,0,21,0,0,0,389,92,0,0,24,0,0,0,0,0,0
MASK015.V1.SKIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,2,991,0,0,0,0,0,0,2,0,0,11,0,0,445,0,0,35008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,7,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
MASK015.v1.throat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678,0,0,0,0,0,0,0,0,0,0,3183,0,0,1555,0,0,63,2521,0,0,0,0,0,29,0,0,0,46,318,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,309,0,0,0,9288,0,0,0,0,0,0,0,1276,909,0,1698,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
MASK015.V2.MASK,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,223,0,0,59,0,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728,0,0,0,0,0,0,0,0,38,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,19,74,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0
MASK015.V2.SKIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,412,0,0,0,0,0,0,5,0,0,20,0,0,356,0,0,32760,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,198,0,0,0,0,0,0,0,0,0,3,0,0,0,165,0,0,0,0,66,0,0,0,20,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
MASK015.v2.throat,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057,0,0,0,0,0,0,0,0,0,0,12035,0,0,986,0,0,12,12621,0,0,0,0,0,22,0,0,0,115,287,0,0,6,0,0,0,0,0,0,6,0,5,0,0,0,56,0,0,0,360,0,0,0,25536,0,0,0,0,0,5,0,816,7906,0,1343,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
MASK015.V3.MASK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,86,0,0,123,0,0,402,0,0,26198,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,4,0,0,0,0,0,0,0,0,3,174,0,0,0,0,0,0,0,5,18,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,13,0,0,0,0,12,0,0,0,55,0,0,0,0,0,0,0,0,0,0
MASK015.V3.SKIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822,0,0,0,0,0,0,4,0,0,4,0,0,313,0,0,35907,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASK015.v3.throat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3582,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,3349,0,0,4564,0,0,8,1770,0,0,0,0,0,6,0,0,0,13,109,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,514,0,0,0,22285,0,0,0,0,0,11,0,477,721,0,1317,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
MASK016.V1.MASK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,13,0,0,50,0,0,578,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,59,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
MASK016.V1.SKIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,1941,0,0,26679,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,0,0,0,0,0,0,0,0,0,5,0,0,0,57,0,0,0,0,0,0,3,0,0,0,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASK016.v1.throat,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,2414,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4061,0,0,0,0,0,0,0,0,0,0,384,0,0,1290,0,0,0,6039,0,0,0,0,0,210,0,0,2,31,107,0,4,0,0,0,0,0,0,0,13,0,3,0,0,0,30,0,0,0,7853,0,0,0,21480,0,0,0,0,0,4,0,755,6242,0,17109,0,0,0,0,0,1433,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0
MASK016.V2.SKIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17,0,0,5807,0,0,17644,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,0,0,0,0,952,0,0,0,0,0,0,0,0,0,3,0,0,0,82,0,0,0,0,0,0,0,0,5,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
MASK016.v2.throat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,0,0,0,0,0,0,0,0,0,0,72,0,0,660,0,0,13,777,0,0,0,4,0,28,0,0,0,29,29,0,0,0,0,0,0,0,0,0,149,3,2,0,0,0,4,0,0,0,634,0,0,0,13340,0,0,0,0,0,20,0,20,1219,0,670,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASK016.V3.MASK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,47,171,0,0,0,0,0,0,16,0,0,419,0,0,1117,0,0,18841,40,0,0,0,0,0,35,4,5,0,10,0,0,6,0,0,0,0,9,0,0,808,0,0,0,0,0,7,0,0,0,37,0,0,0,1608,0,0,0,0,0,6,7,4,210,2,511,0,0,0,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,7,122,0,0,0,0,0,0,0,0,0,0,0,4,520,0,0,0,0,0,0,2,0,0
MASK016.V3.SKIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,57,0,0,2405,0,0,27030,0,0,0,0,0,0,63,0,0,0,0,0,0,29,0,2,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASK016.v3.throat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2623,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,427,0,0,0,0,0,0,0,0,0,0,329,0,0,205,0,0,48,1736,0,0,0,10,0,80,2,0,0,28,79,0,0,3,0,0,0,0,0,0,506,0,0,0,0,0,39,0,0,0,404,0,0,0,8081,0,0,0,0,0,110,0,35,2920,0,1004,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASK017.V1.MASK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,21,0,0,37,0,0,4719,0,0,20770,10,0,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,2,0,0,0,0,0,0,0,0,29,0,0,0,237,0,0,0,0,0,0,4,0,36,0,41,0,0,0,0,0,11,0,0,0,0,0,0,0,19,0,0,0,0,3,82,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
MASK017.V1.SKIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12,0,0,9443,0,0,12769,0,0,0,0,0,0,3439,0,0,0,0,0,0,171,0,0,0,0,0,0,0,318,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0
MASK017.v1.throat,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18032,0,0,0,0,0,0,0,0,0,0,189,0,0,2118,0,0,0,3568,0,0,0,8,0,25,4,0,0,8,26,0,3,0,0,3,0,0,0,0,13,0,0,0,0,0,55,0,0,0,13060,0,0,0,20512,0,0,0,0,0,0,0,19,897,0,134,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASK017.V2.MASK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,443,0,0,0,0,0,0,0,79,0,0,216,0,0,3630,0,0,14822,125,0,0,0,0,0,594,0,0,0,11,0,12,31,0,0,0,0,0,0,0,1650,0,0,0,0,0,7,0,0,0,140,0,0,0,1600,0,0,0,0,0,0,0,31,132,0,484,0,7,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,42,24,0,0,0,3,0,0,0,45,16,0,0,0,0,0,0,0,0,0
MASK017.V2.SKIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10713,0,0,7172,0,0,0,0,0,0,9213,0,0,0,0,0,0,113,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASK017.v2.throat,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,32,46,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7635,0,0,0,0,0,0,0,0,0,0,44,0,0,2121,0,0,0,2187,0,0,0,9,0,129,3,0,0,2,42,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,24,0,0,0,5702,0,0,0,4141,0,0,0,0,0,0,0,20,70,0,49,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
MASK017.V3.MASK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,18,0,0,3736,0,0,11195,7,0,0,0,0,0,278,0,0,0,0,2,0,0,3,0,0,0,0,0,0,486,0,2,0,0,0,6,0,0,0,5,0,0,0,23,0,0,0,0,0,0,0,0,15,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASK017.V3.SKIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,3225,0,0,15617,0,0,0,0,0,0,6524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
MASK017.v3.throat,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1736,0,0,0,0,0,0,0,0,0,0,572,0,0,408,0,0,2,2922,0,0,0,11,0,70,13,0,0,8,64,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,160,0,0,0,1022,0,0,0,10865,0,0,0,0,0,0,0,183,1772,0,64,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASK018.V1.MASK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,7,0,0,30,0,0,3160,0,0,23568,4,0,0,0,0,0,27,0,0,0,0,0,0,73,0,0,0,0,0,0,0,444,0,0,0,0,0,0,0,0,0,22,0,0,0,1136,0,0,0,0,0,0,0,0,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASK018.V1.SKIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3951,0,0,19915,0,0,0,0,0,0,9,0,0,0,0,0,0,106,0,0,0,0,0,0,0,1547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
